en,de,description,file,hash
"Number of active and inactive question and total","Anzahl der aktiven und inaktiven Fragen sowie gesamt",,site/modules/FrontendForms/FrontendFormsManager.module,d39bcbd03e435bfd2c2fd76836f73b44
"Questions for the SIMPLE TEXT CAPTCHA","Fragen für das EINFACHE FRAGE CAPTCHA",,site/modules/FrontendForms/FrontendFormsManager.module,b4c576f8a5b38eff98049ed9e4dc101a
"Manage all questions for the SIMPLE QUESTION CAPTCHA","Verwalten Sie alle Fragen für das EINFACHE FRAGE CAPTCHA",,site/modules/FrontendForms/FrontendFormsManager.module,250019d88eeca10932e3d40bb09ce3b5
"Questions statistics","Fragen Statistiken",,site/modules/FrontendForms/FrontendFormsManager.module,faec30dbd9ef07709d8c33fdd11cf66a
"List of all IPs that have been blocked temporarily","Liste aller IPs, die vorübergehend gesperrt wurden",,site/modules/FrontendForms/FrontendFormsManager.module,8512425380beff0a24d694b4ded45a3e
"Information about all IP addresses that have been temporarily blocked due to too many unsuccessful form submissions.","Informationen über alle IP-Adressen, die aufgrund von zu vielen erfolglosen Formularübermittlungen vorübergehend gesperrt wurden.",,site/modules/FrontendForms/FrontendFormsManager.module,a18c55268179c73b3aa46d9a14df495b
"Logging of blocked IPs is disabled.","Die Protokollierung blockierter IPs ist deaktiviert.",,site/modules/FrontendForms/FrontendFormsManager.module,7be7323cb06d3990bd8547f6871790c2
"FrontendForms configuration",FrontendForms-Einstellungen,,site/modules/FrontendForms/FrontendFormsManager.module,47a600951cdd2cd37077b29a27ff2e87
"If you want to show statistics about blocked IPs, you need to go to the %s and enable it first (Spam protection and security settings for the forms -> Measure 1: Restrict number of failed attempts).","Wenn Sie Statistiken über blockierte IPs anzeigen möchten, müssen Sie zuerst zu den %s gehen und die Protokollierung dort aktivieren (Spam-Schutz und Sicherheitseinstellungen für die Formulare -> Maßnahme 1: Anzahl der fehlgeschlagenen Versuche einschränken).",,site/modules/FrontendForms/FrontendFormsManager.module,ed20d52093a775ffe22177bdbcd71fa3
"Temporarily Blocked IPs","Vorübergehend blockierte IPs",,site/modules/FrontendForms/FrontendFormsManager.module,b66f727f1347d3c063dc4f8cc3edcd0d
"This chart shows the number of temporarily blocks for the 10 most temporarily blocked IPs in descending order.","Dieses Diagramm zeigt die Anzahl vorübergehender Sperrungen für die 10 am häufigsten vorübergehend gesperrten IPs in absteigender Reihenfolge.",,site/modules/FrontendForms/FrontendFormsManager.module,f98692d3cb41bd9be35703105edbcadb
"Number of temporary blockings","Anzahl der vorübergehenden Sperrungen",,site/modules/FrontendForms/FrontendFormsManager.module,d143d66368a0f6e0d6e43027a952f41c
IPs,=,,site/modules/FrontendForms/FrontendFormsManager.module,fef48b3b39a9c7cdf35ffca8bf736a75
"Number of temporarily blockings","Anzahl der vorübergehenden Sperrungen",,site/modules/FrontendForms/FrontendFormsManager.module,aa183e25ae52cc52433d8bf32d39bb1c
"Top 10 IPs with the most blockings","Top 10 IPs mit den meisten Sperrungen",,site/modules/FrontendForms/FrontendFormsManager.module,179c5a3e05d658ac00e7fce8f0d7f2a1
IP,=,,site/modules/FrontendForms/FrontendFormsManager.module,a12a3079e14ced46e69ba52b8a90b21a
"Number of blockings","Anzahl der Sperrungen",,site/modules/FrontendForms/FrontendFormsManager.module,ec6643b8937c561563dd33a8e91a617c
"Not banned","Nicht gesperrt",,site/modules/FrontendForms/FrontendFormsManager.module,fa9c4cb43f1d45a9bcb3c17aac3b8603
"Not blocked - The IP is not on the list of permanent blocked IPs (Blacklist).","Nicht blockiert - Die IP steht nicht auf der Liste der dauerhaft gesperrten IPs (Blacklist).",,site/modules/FrontendForms/FrontendFormsManager.module,258de28492189633a51ef184dda6f87b
"Blocked - The IP is currently on the list of permanent blocked IPs (Blacklist).","Blockiert - Die IP steht derzeit auf der Liste der dauerhaft gesperrten IPs (Blacklist).",,site/modules/FrontendForms/FrontendFormsManager.module,838b86b4a41333131eaf8865bf9bbb74
"To all temporarily blocked IPs","Zu allen temporär gesperrten IPs",,site/modules/FrontendForms/FrontendFormsManager.module,d886dadad6f4bbcbe945bea88b35637a
"At the moment there are no entries about temporarily blocked IPs in the log files.","Momentan gibt es keine Einträge über temporär gesperrte IPs in den Logfiles.",,site/modules/FrontendForms/FrontendFormsManager.module,30d18d49315732b23244f10874fa96dd
#,=,,site/modules/FrontendForms/FrontendFormsManager.module,01abfc750a0c942167651c40d088531d
"Number of blocks","Anzahl der Sperrungen",,site/modules/FrontendForms/FrontendFormsManager.module,02281719187ced2a9763531b2d5cde35
Info,=,,site/modules/FrontendForms/FrontendFormsManager.module,4059b0251f66a18cb56f544728796875
"Add/remove IP to/from the blacklist ","Hinzufügen/Entfernen der IP zu/von der Blacklist",,site/modules/FrontendForms/FrontendFormsManager.module,ceb2b8baee1c56db529c7f81e479ea03
"View details about this IP","Details zu dieser IP anzeigen",,site/modules/FrontendForms/FrontendFormsManager.module,f0b432894b4fa5276c7eda4168d20d6b
"IP is blocked","IP ist gesperrt",,site/modules/FrontendForms/FrontendFormsManager.module,d165be43dae15da6ca52506f826bb3d4
"Remove from blacklist","Von der Blacklist entfernen",,site/modules/FrontendForms/FrontendFormsManager.module,5ad3137edf46035a9faf9432f7cd0522
"Add to blacklist","Zur Blacklist hinzufügen",,site/modules/FrontendForms/FrontendFormsManager.module,218ccb4c1ea08f5bfb6cd390c3ba94e5
"IP is not blocked","IP is nicht gesperrt",,site/modules/FrontendForms/FrontendFormsManager.module,977f739fffa52c21a3c1eb749a3f8540
"Any IP addresses that are blacklisted will not be able to submit forms, because in this case the forms will not be displayed.","IP-Adressen, die auf der Blacklist stehen, können keine Formulare absenden, da die Formulare in diesem Fall nicht angezeigt werden.",,site/modules/FrontendForms/FrontendFormsManager.module,9813b9e89bf43bd820bfe520251c1bf4
"This is a security measure to exclude potential spammers.","Dies ist eine Sicherheitsmaßnahme, um potenzielle Spammer auszuschließen.",,site/modules/FrontendForms/FrontendFormsManager.module,08386e021693b022a97f42ffee376e0f
"There are no temporarily blocked IPs entries inside the log files.","Es gibt keine Einträge über vorübergehend Sperrungen von IPs in den Protokolldateien.",,site/modules/FrontendForms/FrontendFormsManager.module,6831e9348a1272be22fab169a550afd2
"Back to the dashboard","Zurück zur Übersicht",,site/modules/FrontendForms/FrontendFormsManager.module,86c9ce4b2e3b43353a23861c053a594b
"Manage all questions for the SIMPLE QUESTION CAPTCHA in one place.","Verwalten Sie alle Fragen für das EINFACHE FRAGE CAPTCHA an einem Ort.",,site/modules/FrontendForms/FrontendFormsManager.module,3d1b8b1393fde38144ad8ecba2a5fc68
Filter,=,,site/modules/FrontendForms/FrontendFormsManager.module,d7778d0c64b6ba21494c97f77a66885a
"Filter by question text","Filtern nach Fragen-Text",,site/modules/FrontendForms/FrontendFormsManager.module,a6ff831f0edf7f8005760a999cb60e19
"Filter questions by containing a specific word or phrase.","Filtern von Fragen anhand eines bestimmten Wortes oder einer Wortphrase",,site/modules/FrontendForms/FrontendFormsManager.module,cdab3dfcbbb5e5523be258f3207b0543
"Filter by status","Filtern nach Statuts",,site/modules/FrontendForms/FrontendFormsManager.module,5dd5cd6670a0fc8e47a47aa94d27b8b2
all,alle,,site/modules/FrontendForms/FrontendFormsManager.module,a181a603769c1f98ad927e7367c7aa51
"Filter questions according to their page status.","Filtern von Fragen anhand des Seiten-Status.",,site/modules/FrontendForms/FrontendFormsManager.module,000abf628b1abccf65a23698208fba18
"Filter by visibility","Filtern nach Sichtbarkeit",,site/modules/FrontendForms/FrontendFormsManager.module,603fbf05a5aa6253a7c6384853cb6689
"Filter whether the questions are used by the CAPTCHA or not.","Filtern anhand des Kritieriums, ob die Frage beim CAPTCHA angezeigt wird oder nicht.",,site/modules/FrontendForms/FrontendFormsManager.module,2c7c44365ac7c8e1fb5bc34f654c812f
"No questions have been created at the moment.","Im Moment wurden noch keine Frage erstellt",,site/modules/FrontendForms/FrontendFormsManager.module,70dfa5b7b0368e70377dcec64a197a8f
Question,Frage,,site/modules/FrontendForms/FrontendFormsManager.module,a97ea56b0e00b2379736ae60869ff66a
Created,"Erstellt am",,site/modules/FrontendForms/FrontendFormsManager.module,0eceeb45861f9585dd7a97a3e36f85c6
User,Benutzer,,site/modules/FrontendForms/FrontendFormsManager.module,8f9bfe9d1345237cb3b2b205864da075
"will be used (shown) as CAPTCHA question on the frontend","wird im Frontend beim CAPTCHA angezeigt",,site/modules/FrontendForms/FrontendFormsManager.module,797223ea50a1191aa3d0422321f76900
"will not be used (shown) as CAPTCHA question on the frontend","wird nicht im Frontend beim CAPTCHA angezeigt",,site/modules/FrontendForms/FrontendFormsManager.module,91f9f3dcf32e3b35db975d303846f22c
"There are no questions.","Es gibt keine Fragen.",,site/modules/FrontendForms/FrontendFormsManager.module,78132c6a7ffcd380dc877b1dbe22442e
"Add new question","Eine neue Frage erstellen",,site/modules/FrontendForms/FrontendFormsManager.module,2a3db08ece9db0589d17f4a28b9958f8
"No questions have been created yet.","Bis jetzt wurden noch keine Fragen erstellt.",,site/modules/FrontendForms/FrontendFormsManager.module,4d6068e701c464a4b4023a05ecd65d0d
"If you want to use the SIMPLE QUESTION CAPTCHA, you can add, edit or delete the related questions in this section by clicking on the button below.","Wenn Sie das EINFACHE FRAGE CAPTCHA verwenden möchten, dann können Sie hier Frage erstellen, bearbeiten oder löschen indem Sie auf den Button weiter unten klicken.",,site/modules/FrontendForms/FrontendFormsManager.module,d0031a5235e9b380ac6e5bb32339871f
"Questions with status ""published""","Fragen mit Status ""veröffentlicht""",,site/modules/FrontendForms/FrontendFormsManager.module,ce0627ddbd2ef785a69b2dade92a6526
"Questions with status ""unpublished""","Fragen mit Status ""unveröffentlicht""",,site/modules/FrontendForms/FrontendFormsManager.module,b238945e7898bc2cede56b8869597000
"Questions with status ""hidden""","Fragen mit Status ""versteckt""",,site/modules/FrontendForms/FrontendFormsManager.module,9c85fc674962371bd807fbe470036600
"Questions with status ""locked""","Fragen mit Status ""gesperrt""",,site/modules/FrontendForms/FrontendFormsManager.module,e8ab2227c04f89d371197383d8357820
"Active questions (will be displayed on the frontend)","Aktive Fragen (werden im Frontend angezeigt)",,site/modules/FrontendForms/FrontendFormsManager.module,efb5e6d1eef98b26cf23e8c0173f40bd
"Inactive questions (will not be displayed on the frontend)","Inaktive Fragen (werden nicht im Frontend angezeigt)",,site/modules/FrontendForms/FrontendFormsManager.module,298f462198b72d314c26d68f806c476b
"Questions total","Gesamtanzahl aller Fragen",,site/modules/FrontendForms/FrontendFormsManager.module,dcd943b0f5e1a473f4803395af5e4706
"Add/edit/delete questions","Hinzufügen/bearbeiten/löschen von Fragen",,site/modules/FrontendForms/FrontendFormsManager.module,23f5c75c7b296cce7ec039ba05ffd91d
"Inherit from the default value","Vom Standardwert übernehmen",,site/modules/FrontendForms/FrontendFormsManager.module,f8c3bdf54db5392744acd4c74b3fb9af
"Above the label of the input field","Oberhalb der Eingabefeld-Bezeichnung (Label)",,site/modules/FrontendForms/FrontendFormsManager.module,67d69ad5b86f9485a1ffe5c3925fc540
"Below the label of the input field","Unterhalb der Eingabefeld-Bezeichnung (Label)",,site/modules/FrontendForms/FrontendFormsManager.module,ea516aff53231f573565309917786352
"Below the input field","Unterhalb des Eingabefeldes (Input)",,site/modules/FrontendForms/FrontendFormsManager.module,99496a9f358b973e5c475c6c38441cc7
"Pagination number for data tables","Paginationsnummer für Daten-Tabellen",,site/modules/FrontendForms/FrontendFormsManager.module,0f6125bce53a7f802da8d9feb2ae7e40
"Please select how many entries should be displayed inside a data table per page.","Bitte wählen Sie aus, wie viele Einträge in einer Datentabelle pro Seite angezeigt werden sollen.",,site/modules/FrontendForms/FrontendFormsManager.module,c8afe997985601d8ab23420fe9a9d5a3
"If the total number of entries inside the table is higher, the table will be paginated.","Wenn die Gesamtzahl der Einträge in der Tabelle höher ist, wird die Tabelle paginiert.",,site/modules/FrontendForms/FrontendFormsManager.module,cf74d4fba3d676998324ae2e6b7cff1b
"FrontendForms Manager",=,,site/modules/FrontendForms/FrontendFormsManager.module,1bc4ddb5b62b3fe81a7813f2f322c48a
"Additional administration page for the FrontendForms module.","Zusätzliche Verwaltungsseite für das FrontendForms-Modul.",,site/modules/FrontendForms/FrontendFormsManager.module,0ff317d3baaddf1705c924fa4c6c040f
